,Player,Mat,Inn,NO,Runs,Avg,100,50,Point,catagory
223,BE Congdon (NZ),61,114.0,7.0,3448.0,32.22,7.0,19.0,7.939489761511913,2
224,WH Ponsford (AUS),29,48.0,4.0,2122.0,48.22,7.0,6.0,7.912333750863585,2
225,C Washbrook (ENG),37,66.0,6.0,2569.0,42.81,6.0,12.0,7.898079299795939,2
226,CG Borde (INDIA),55,97.0,11.0,3061.0,35.59,5.0,18.0,7.8584001716304686,2
227,B Sutcliffe (NZ),42,76.0,8.0,2727.0,40.1,5.0,15.0,7.830682684930617,2
228,Q de Kock (SA),44,74.0,5.0,2683.0,38.88,5.0,18.0,7.783359647875215,2
229,Taufeeq Umar (PAK),44,83.0,5.0,2963.0,37.98,7.0,14.0,7.732078909984461,2
230,Wasim Raja (PAK),57,92.0,14.0,2821.0,36.16,4.0,18.0,7.720195063933524,2
231,CA Davis (WI),15,29.0,5.0,1301.0,54.2,4.0,4.0,7.710941835255534,2
232,J Ryder (AUS),20,32.0,5.0,1394.0,51.62,3.0,9.0,7.6998568243433425,2
233,CAG Russell (ENG),10,18.0,2.0,910.0,56.87,5.0,2.0,7.686857955757296,2
234,Mominul Haque (BDESH),38,71.0,4.0,2657.0,39.65,8.0,13.0,7.6713034841432695,2
235,BJ Haddin (AUS),66,112.0,13.0,3266.0,32.98,4.0,18.0,7.669470213511448,2
236,RM Cowper (AUS),27,46.0,2.0,2061.0,46.84,5.0,10.0,7.6636457080322185,2
237,GN Yallop (AUS),39,70.0,3.0,2756.0,41.13,8.0,9.0,7.625728661266722,2
238,AJL Hill (ENG),3,4.0,0.0,251.0,62.75,1.0,1.0,7.623275033999529,2
239,KR Miller (AUS),55,87.0,7.0,2958.0,36.97,7.0,13.0,7.621165907052822,2
240,BL D'Oliveira (ENG),44,70.0,8.0,2484.0,40.06,5.0,15.0,7.612705437170275,2
241,KK Nair (INDIA),6,7.0,1.0,374.0,62.33,1.0,0.0,7.604214979039155,2
242,GE Tyldesley (ENG),14,20.0,2.0,990.0,55.0,3.0,6.0,7.575689754233868,2
243,W Bardsley (AUS),41,66.0,5.0,2469.0,40.47,6.0,14.0,7.569930714697131,2
244,PJL Dujon (WI),81,115.0,11.0,3322.0,31.94,5.0,16.0,7.561879206631141,2
245,DJ McGlew (SA),34,64.0,6.0,2440.0,42.06,7.0,10.0,7.528231351035848,2
246,GA Hick (ENG),65,114.0,6.0,3383.0,31.32,6.0,18.0,7.518486200904474,2
247,KR Stackpole (AUS),43,80.0,5.0,2807.0,37.42,7.0,14.0,7.470050023644363,2
248,JV Coney (NZ),52,85.0,14.0,2668.0,37.57,3.0,16.0,7.462344501134252,2
249,KC Bland (SA),21,39.0,5.0,1669.0,49.08,3.0,9.0,7.4509120315936865,2
250,GM Wood (AUS),59,112.0,6.0,3374.0,31.83,9.0,13.0,7.395463844127282,2
251,LEG Ames (ENG),47,72.0,12.0,2434.0,40.56,8.0,7.0,7.383642162719757,2
