,Player,Mat,Inn,NO,Runs,Avg,100,50
285,JB Stollmeyer (WI),32,56.0,5.0,2159.0,42.33,4.0,12.0
286,RG Sharma (INDIA),32,53.0,7.0,2141.0,46.54,6.0,10.0
287,CG Macartney (AUS),35,55.0,4.0,2131.0,41.78,7.0,9.0
288,HAPW Jayawardene (SL),58,83.0,11.0,2124.0,29.5,4.0,5.0
289,WH Ponsford (AUS),29,48.0,4.0,2122.0,48.22,7.0,6.0
290,RA McLean (SA),40,73.0,3.0,2120.0,30.28,5.0,10.0
291,AL Wadekar (INDIA),37,71.0,3.0,2113.0,31.07,1.0,14.0
292,MH Mankad (INDIA),44,72.0,5.0,2109.0,31.47,5.0,6.0
293,JP Duminy (SA),46,74.0,10.0,2103.0,32.85,6.0,8.0
294,JK Silva (SL),39,74.0,0.0,2099.0,28.36,3.0,12.0
295,AN Petersen (SA),36,64.0,4.0,2093.0,34.88,5.0,8.0
296,CPS Chauhan (INDIA),40,68.0,2.0,2084.0,31.57,0.0,16.0
297,Imtiaz Ahmed (PAK),41,72.0,1.0,2079.0,29.28,3.0,11.0
298,MG Johnson (AUS),73,109.0,16.0,2065.0,22.2,1.0,11.0
299,K Srikkanth (INDIA),43,72.0,3.0,2062.0,29.88,2.0,12.0
300,RM Cowper (AUS),27,46.0,2.0,2061.0,46.84,5.0,10.0
301,PE Richardson (ENG),34,56.0,1.0,2061.0,37.47,5.0,9.0
302,ML Jaisimha (INDIA),39,71.0,4.0,2056.0,30.68,3.0,12.0
303,LG Rowe (WI),30,49.0,2.0,2047.0,43.55,7.0,7.0
304,JC Buttler (ENG),38,68.0,6.0,2046.0,33.0,1.0,15.0
305,SV Manjrekar (INDIA),37,61.0,6.0,2043.0,37.14,4.0,9.0
306,BA Young (NZ),35,68.0,4.0,2034.0,31.78,2.0,12.0
307,MJ Greatbatch (NZ),41,71.0,5.0,2021.0,30.62,3.0,10.0
308,CJL Rogers (AUS),25,48.0,1.0,2015.0,42.87,5.0,14.0
309,KOA Powell (WI),40,76.0,1.0,2011.0,26.81,3.0,6.0
310,AC Hudson (SA),35,63.0,3.0,2007.0,33.45,4.0,13.0
311,KL Rahul (INDIA),36,60.0,2.0,2006.0,34.58,5.0,11.0
312,DN Sardesai (INDIA),30,55.0,4.0,2001.0,39.23,5.0,9.0
313,TW Hayward (ENG),35,60.0,2.0,1999.0,34.46,3.0,12.0
314,MA Noble (AUS),42,73.0,7.0,1997.0,30.25,1.0,16.0
315,DL Murray (WI),62,96.0,9.0,1993.0,22.9,0.0,11.0
